date,open,high,low,close,pct_change,volume,ln_return
2012-02-17,1358.06,1363.4,1357.24,1361.23,0.0023,3717640000,0.002346219
2012-02-16,1342.61,1359.02,1341.22,1358.04,0.011,4108880000,0.010965323
2012-02-15,1350.52,1355.87,1340.8,1343.23,-0.0054,4080340000,-0.005397733
2012-02-14,1351.3,1351.3,1340.83,1350.5,-0.0009,3889520000,-0.000939951
2012-02-13,1343.06,1353.35,1343.06,1351.77,0.0068,3618040000,0.00677702
2012-02-10,1351.21,1351.21,1337.35,1342.64,-0.0069,3877580000,-0.00691017
2012-02-09,1349.97,1354.32,1344.63,1351.95,0.0015,4209890000,0.001473032
2012-02-08,1347.04,1351,1341.95,1349.96,0.0022,4096730000,0.002157946
2012-02-07,1344.33,1349.24,1335.92,1347.05,0.002,3742460000,0.002021269
2012-02-06,1344.32,1344.36,1337.52,1344.33,-0.0004,3379700000,-0.000423913
2012-02-03,1326.21,1345.34,1326.21,1344.9,0.0146,4608550000,0.014499737
2012-02-02,1324.24,1329.19,1321.57,1325.54,0.0011,4120920000,0.001094493
2012-02-01,1312.45,1330.52,1312.45,1324.09,0.0089,4504360000,0.008860289
2012-01-31,1313.53,1321.41,1306.69,1312.41,-0.0005,4235550000,-0.00045707
2012-01-30,1316.16,1316.16,1300.49,1313.01,-0.0025,3659010000,-0.00252535
2012-01-27,1318.25,1320.06,1311.72,1316.33,-0.0016,4007380000,-0.001594073
2012-01-26,1326.28,1333.47,1313.6,1318.43,-0.0058,4522070000,-0.005770505
2012-01-25,1314.4,1328.3,1307.65,1326.06,0.0087,4410910000,0.008641669
2012-01-24,1315.96,1315.96,1306.06,1314.65,-0.001,3693560000,-0.001026362
2012-01-23,1315.29,1322.28,1309.89,1316,0.0005,3770910000,0.000471236
2012-01-20,1314.49,1315.38,1309.17,1315.38,0.0007,3912620000,0.000669232
2012-01-19,1308.07,1315.49,1308.07,1314.5,0.0049,4465890000,0.004926532
2012-01-18,1293.65,1308.11,1290.99,1308.04,0.0111,4096160000,0.011046693
2012-01-17,1290.22,1303,1290.22,1293.67,0.0036,4010490000,0.003546597
2012-01-13,1294.82,1294.82,1277.58,1289.09,-0.0049,3692370000,-0.004960178
2012-01-12,1292.48,1296.82,1285.77,1295.5,0.0023,4019890000,0.002333868
2012-01-11,1292.02,1293.8,1285.41,1292.48,0.0003,3968120000,0.00030953
2012-01-10,1280.77,1296.46,1280.77,1292.08,0.0089,4221960000,0.008846519
2012-01-09,1277.83,1281.99,1274.55,1280.7,0.0023,3371600000,0.002259128
2012-01-06,1280.93,1281.84,1273.34,1277.81,-0.0025,3656830000,-0.002540185
